field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py,X,Y,pro,NR
henrys,533622.724044735,5304741.20440146,wood,2016,2015,48.57,17.56,43.9355,,5.08368,0,854.88,0.521661,80,344,574.75,2174.25,0.397946,0.619884,0.727379,533622.724044735,5304741.20440146,10.35,155.621290368726
henrys,533652.724044735,5304741.20440146,wood,2016,2015,32.34,24.61,43.7837,,4.45448,0,854.858,0.498309,80,344,574.75,2174.25,0.388032,0.637926,0.742252,533652.724044735,5304741.20440146,9.99338458697404,65.6722960140722
henrys,533632.724044735,5304811.20440146,wood,2016,2015,30.9,16.11,41.9019,,4.3631,0.764673,854.627,0.490423,80,344,574.75,2174.25,0.405612,0.648779,0.783201,533632.724044735,5304811.20440146,11.02400716266,72.8901635008072
henrys,533642.724044735,5304911.20440146,wood,2016,2015,2.59,5.97,47.2383,,1.63759,6.577,852.766,0.825817,80,344,574.75,2174.25,0.345877,0.520641,0.682021,533642.724044735,5304911.20440146,14.22,-83.4092932954772
henrys,533802.724044735,5304921.20440146,wood,2016,2015,20.03,6.7,43.941,,0.204655,0.231466,853.18,0.518022,80,344,574.75,2174.25,0.408553,0.54723,0.625191,533802.724044735,5304921.20440146,10.7945217820896,9.98619105266897
henrys,533792.724044735,5304871.20440146,wood,2016,2015,34.79,21.93,44.2828,,5.80137,1,853.576,0.510879,80,344,574.75,2174.25,0.542118,0.678321,0.745973,533792.724044735,5304871.20440146,11.42,98.4466450545412
henrys,533772.724044735,5304831.20440146,wood,2016,2015,45.77,27.36,38.5144,,4.63923,1,854.156,0.564094,80,344,574.75,2174.25,0.420014,0.709518,0.779092,533772.724044735,5304831.20440146,10.3473728287135,143.82608659891
henrys,533772.724044735,5304811.20440146,wood,2016,2015,45.53,28.87,17.6442,,1.46296,0.0149082,854.341,0.550296,80,344,574.75,2174.25,0.415199,0.728867,0.808056,533772.724044735,5304811.20440146,10.5233802551085,157.212376350177
henrys,533712.724044735,5304581.20440146,wood,2016,2015,30.85,20.43,46.6693,,3.60812,0,854.705,0.535281,80,344,574.75,2174.25,0.364522,0.63707,0.645907,533712.724044735,5304581.20440146,11.52,75.996456524761
henrys,533762.724044735,5304651.20440146,wood,2016,2015,53.73,25.3,91.4057,,2.27317,0,854.837,0.531516,80,344,574.75,2174.25,0.406816,0.701772,0.750569,533762.724044735,5304651.20440146,9.89,146.180646595383
henrys,533732.724044735,5304661.20440146,wood,2016,2015,34.43,21.24,17.94,,4.84133,1,854.791,0.546517,80,344,574.75,2174.25,0.399156,0.691559,0.725091,533732.724044735,5304661.20440146,10.2063188094508,93.4221357115395
henrys,533712.724044735,5304661.20440146,wood,2016,2015,33.58,20.32,32.315,,4.53864,0,854.642,0.481391,80,344,574.75,2174.25,0.377687,0.654542,0.705262,533712.724044735,5304661.20440146,10.1609376335342,80.6327290560178
henrys,533692.724044735,5304631.20440146,wood,2016,2015,20.51,,0,,1.05298,0,854.642,0.450086,80,344,574.75,2174.25,0.37734,0.641679,0.674313,533692.724044735,5304631.20440146,10.0176948552785,29.3563764387299
henrys,533692.724044735,5304641.20440146,wood,2016,2015,30.62,,0,,2.37211,0,854.652,0.462535,80,344,574.75,2174.25,0.378382,0.650967,0.700862,533692.724044735,5304641.20440146,9.72,76.652026265279
henrys,533692.724044735,5304621.20440146,wood,2016,2015,11.41,,0,,1.20724,0.0448278,854.664,0.469498,80,344,574.75,2174.25,0.37734,0.641679,0.674313,533692.724044735,5304621.20440146,9.64190742349409,-18.9026226478753
henrys,533712.724044735,5304651.20440146,wood,2016,2015,33.2,22.22,32.315,,4.34471,0,854.643,0.475845,80,344,574.75,2174.25,0.377687,0.654542,0.705262,533712.724044735,5304651.20440146,10.0265621860937,76.6939386631609
henrys,533742.724044735,5304661.20440146,wood,2016,2015,26.69,29.75,17.94,,0.577295,0.061596,854.84,0.567836,80,344,574.75,2174.25,0.406261,0.701143,0.748047,533742.724044735,5304661.20440146,10.3309688784558,54.8432986316687
henrys,533712.724044735,5304641.20440146,wood,2016,2015,36.17,24.34,32.315,,5.2539,0,854.642,0.464546,80,344,574.75,2174.25,0.377687,0.654542,0.705262,533712.724044735,5304641.20440146,9.72,86.7777617038943
henrys,533712.724044735,5304681.20440146,wood,2016,2015,34.25,20.1,18.13,,3.93142,0,854.643,0.48181,80,344,574.75,2174.25,0.371071,0.660462,0.727138,533712.724044735,5304681.20440146,9.59,82.8201815299283
henrys,533772.724044735,5304651.20440146,wood,2016,2015,43.93,17.22,46.23,,2.46632,0,854.766,0.494704,80,344,574.75,2174.25,0.406816,0.701772,0.750569,533772.724044735,5304651.20440146,10.1036320612497,125.363532378935
henrys,533762.724044735,5304631.20440146,wood,2016,2015,47.42,20.72,90.9963,,2.95243,0,854.811,0.543955,80,344,574.75,2174.25,0.389908,0.683345,0.712455,533762.724044735,5304631.20440146,11.58,147.818812291752
henrys,533732.724044735,5304621.20440146,wood,2016,2015,29.96,20.79,17.2937,,4.33787,0.014821,854.831,0.560383,80,344,574.75,2174.25,0.372358,0.663821,0.688828,533732.724044735,5304621.20440146,9.62740113607917,62.8048610585701
henrys,533732.724044735,5304571.20440146,wood,2016,2015,39.02,19.77,30.36,,2.07863,1,854.544,0.497222,80,344,574.75,2174.25,0.384406,0.662237,0.654235,533732.724044735,5304571.20440146,12.22,141.225471715518
henrys,533772.724044735,5304681.20440146,wood,2016,2015,42.03,21.66,42.8784,,2.92502,0,854.842,0.543528,80,344,574.75,2174.25,0.401482,0.697727,0.742449,533772.724044735,5304681.20440146,10.3,121.047118230527
henrys,533692.724044735,5304591.20440146,wood,2016,2015,10.8,,18.4,,1.00083,0.0143737,854.665,0.460864,80,344,574.75,2174.25,0.369013,0.63641,0.647899,533692.724044735,5304591.20440146,10.0271649772883,-29.8887786602127
henrys,533692.724044735,5304571.20440146,wood,2016,2015,18.64,,17.9819,,1.70052,0,854.707,0.529914,80,344,574.75,2174.25,0.37043,0.637195,0.64099,533692.724044735,5304571.20440146,10.4924579761563,14.0430325760079
henrys,533692.724044735,5304601.20440146,wood,2016,2015,8.46,,18.4,,1.28735,0.0591392,854.646,0.439319,80,344,574.75,2174.25,0.369013,0.63641,0.647899,533692.724044735,5304601.20440146,9.59840261223819,-43.4637322957981
henrys,533692.724044735,5304581.20440146,wood,2016,2015,16.94,,18.4,,1.24057,0,854.697,0.505341,80,344,574.75,2174.25,0.369013,0.63641,0.647899,533692.724044735,5304581.20440146,10.3739162711435,3.95686347361279
henrys,533692.724044735,5304661.20440146,wood,2016,2015,32.83,,53.2763,,1.76288,0,854.711,0.517587,80,344,574.75,2174.25,0.378382,0.650967,0.700862,533692.724044735,5304661.20440146,10.5110664966079,70.4801114278645
henrys,533752.724044735,5304651.20440146,wood,2016,2015,38.89,,91.4057,,4.77215,0,854.83,0.514263,80,344,574.75,2174.25,0.406261,0.701143,0.748047,533752.724044735,5304651.20440146,10.471165381968,81.47177321566
henrys,533692.724044735,5304651.20440146,wood,2016,2015,31.26,,53.2763,,2.04807,0,854.688,0.499626,80,344,574.75,2174.25,0.378382,0.650967,0.700862,533692.724044735,5304651.20440146,10.3340344183934,59.7825228120684
henrys,533762.724044735,5304871.20440146,wood,2016,2015,35.79,,10.35,,0.659712,0.951693,853.578,0.498387,80,344,574.75,2174.25,0.427975,0.689633,0.742401,533762.724044735,5304871.20440146,9.50512476237265,93.1069192845007
henrys,533762.724044735,5304881.20440146,wood,2016,2015,36.04,,10.35,,1.93187,1,853.482,0.489688,80,344,574.75,2174.25,0.449183,0.685802,0.73439,533762.724044735,5304881.20440146,10.034901443811,103.090784725861
henrys,533772.724044735,5304901.20440146,wood,2016,2015,20.74,1.56,44.4944,,5.47389,0.21746,853.322,0.49334,80,344,574.75,2174.25,0.449183,0.685802,0.73439,533772.724044735,5304901.20440146,11.4361964111985,18.8059099312915
henrys,533622.724044735,5304661.20440146,wood,2016,2015,55.36,17.28,44.3615,,6.18718,0.0556294,855.017,0.453529,80,344,574.75,2174.25,0.389174,0.601096,0.664513,533622.724044735,5304661.20440146,11.1213648331647,208.601288097191
henrys,533642.724044735,5304661.20440146,wood,2016,2015,36.68,23.11,42.8706,,6.00987,0.0566824,855.04,0.509205,80,344,574.75,2174.25,0.38589,0.621392,0.680895,533642.724044735,5304661.20440146,10.8265483735338,101.312517011725
henrys,533622.724044735,5304721.20440146,wood,2016,2015,48.39,15.18,41.86,,1.23323,0,854.932,0.506601,80,344,574.75,2174.25,0.363752,0.576712,0.661747,533622.724044735,5304721.20440146,10.8306764456244,165.577820564769
henrys,533642.724044735,5304711.20440146,wood,2016,2015,21.28,20.38,43.5744,,2.45492,0,854.944,0.510216,80,344,574.75,2174.25,0.356969,0.589339,0.670677,533642.724044735,5304711.20440146,10.194263168787,11.5294525176031
henrys,533622.724044735,5304681.20440146,wood,2016,2015,56.15,16.91,44.3615,,3.4529,0,855.014,0.519909,80,344,574.75,2174.25,0.362523,0.584635,0.644814,533622.724044735,5304681.20440146,11.2770125371125,216.413181972986
henrys,533622.724044735,5304691.20440146,wood,2016,2015,50.15,16.74,44.3615,,3.88793,0,855.038,0.55996,80,344,574.75,2174.25,0.362523,0.584635,0.644814,533622.724044735,5304691.20440146,10.69,170.891133251396
henrys,533642.724044735,5304671.20440146,wood,2016,2015,36.81,25.62,42.8706,,5.86895,0.0430649,855.019,0.51322,80,344,574.75,2174.25,0.357727,0.601584,0.656221,533642.724044735,5304671.20440146,10.7892635256636,101.455852631775
henrys,533622.724044735,5304731.20440146,wood,2016,2015,53.6,17.02,44.2437,,5.12743,0,854.893,0.500554,80,344,574.75,2174.25,0.397946,0.619884,0.727379,533622.724044735,5304731.20440146,10.9514582535901,195.251922920009
henrys,533782.724044735,5304871.20440146,wood,2016,2015,44.79,23.52,46.4393,,5.60873,0.985062,853.511,0.455244,80,344,574.75,2174.25,0.542118,0.678321,0.745973,533782.724044735,5304871.20440146,10.6222197262309,139.679226954114
henrys,533742.724044735,5304911.20440146,wood,2016,2015,39.77,14.02,42.6337,,0.283299,1,853.277,0.498044,80,344,574.75,2174.25,0.375474,0.624297,0.723678,533742.724044735,5304911.20440146,12.21,138.964016633589
henrys,533782.724044735,5304911.20440146,wood,2016,2015,41.91,12.46,42.4663,,2.11198,0.231817,853.328,0.579314,80,344,574.75,2174.25,0.446198,0.58618,0.670441,533782.724044735,5304911.20440146,11.287471167614,137.652744455891
henrys,533762.724044735,5304921.20440146,wood,2016,2015,14.11,6.46,43.8822,,1.80273,0.279884,853.186,0.551996,80,344,574.75,2174.25,0.375329,0.626524,0.724909,533762.724044735,5304921.20440146,11.11,-20.2817312461909
henrys,533772.724044735,5304871.20440146,wood,2016,2015,36.25,23.3,46.4393,,0.709418,0.781553,853.512,0.450677,80,344,574.75,2174.25,0.427975,0.689633,0.742401,533772.724044735,5304871.20440146,8.94,66.0091901480833
henrys,533742.724044735,5304871.20440146,wood,2016,2015,27.76,16.77,46.46,,0.403153,1,853.686,0.50273,80,344,574.75,2174.25,0.423215,0.689738,0.74533,533742.724044735,5304871.20440146,9.50617698143828,34.7551294191221
henrys,533752.724044735,5304881.20440146,wood,2016,2015,35.37,12.78,10.35,,0.455842,1,853.567,0.512858,80,344,574.75,2174.25,0.445089,0.684573,0.736019,533752.724044735,5304881.20440146,8.99,82.2496387667014
henrys,533752.724044735,5304901.20440146,wood,2016,2015,39.01,23.31,44.1117,,0.737271,1,853.408,0.539104,80,344,574.75,2174.25,0.445089,0.684573,0.736019,533752.724044735,5304901.20440146,11.1203536910524,117.922077821238
henrys,533782.724044735,5304901.20440146,wood,2016,2015,22.58,8.83,42.6498,,2.43044,0,853.344,0.522175,80,344,574.75,2174.25,0.537803,0.647026,0.70109,533782.724044735,5304901.20440146,11.2013031667714,28.1915654902631
henrys,533772.724044735,5304891.20440146,wood,2016,2015,35.68,4.11,44.4944,,1.92717,0.0486206,853.398,0.501098,80,344,574.75,2174.25,0.449183,0.685802,0.73439,533772.724044735,5304891.20440146,11.45,103.786250099342
henrys,533642.724044735,5304721.20440146,wood,2016,2015,24.13,21.99,43.5744,,4.1341,0,854.943,0.524404,80,344,574.75,2174.25,0.356969,0.589339,0.670677,533642.724044735,5304721.20440146,10.0710261438877,24.938548520826
henrys,533642.724044735,5304681.20440146,wood,2016,2015,35.49,25.05,42.8706,,4.40647,0,854.951,0.46557,80,344,574.75,2174.25,0.357727,0.601584,0.656221,533642.724044735,5304681.20440146,10.7231781352296,93.3340852002429
henrys,533642.724044735,5304701.20440146,wood,2016,2015,24.16,22.69,44.62,,1.61374,0,854.944,0.495998,80,344,574.75,2174.25,0.356969,0.589339,0.670677,533642.724044735,5304701.20440146,10.4934158155502,28.9710544011454
henrys,533642.724044735,5304731.20440146,wood,2016,2015,34.16,21.46,43.7837,,0.337438,0,854.922,0.523093,80,344,574.75,2174.25,0.388032,0.637926,0.742252,533642.724044735,5304731.20440146,9.55,67.9563771908328
henrys,533632.724044735,5304691.20440146,wood,2016,2015,31.39,,44.3615,,1.83507,0,855.033,0.552699,80,344,574.75,2174.25,0.362523,0.584635,0.644814,533632.724044735,5304691.20440146,10.7993279401471,71.4114228584161
henrys,533632.724044735,5304671.20440146,wood,2016,2015,37.09,,44.3615,,5.17468,0,855.011,0.480327,80,344,574.75,2174.25,0.362523,0.584635,0.644814,533632.724044735,5304671.20440146,10.9944331781908,105.264712919706
henrys,533632.724044735,5304661.20440146,wood,2016,2015,40.77,,44.3615,,6.24535,0,855.018,0.450936,80,344,574.75,2174.25,0.389174,0.601096,0.664513,533632.724044735,5304661.20440146,10.8848085163496,123.708822477892
